Date,Time,open,high,low,close,volume
2020-05-13,07:22:45Z,2857.0,2857.5,2857.0,2857.5,-1
2020-05-13,07:22:50Z,2857.25,2857.5,2857.0,2857.5,-1
2020-05-13,07:22:55Z,2857.5,2858.0,2857.25,2857.75,-1
2020-05-13,07:23:00Z,2857.75,2858.0,2857.25,2858.0,-1
2020-05-13,07:23:05Z,2857.75,2858.0,2857.25,2858.0,-1
2020-05-13,07:23:10Z,2857.75,2858.25,2857.5,2858.25,-1
2020-05-13,07:23:15Z,2857.5,2858.0,2857.5,2857.75,-1
2020-05-13,07:23:20Z,2857.5,2858.0,2857.25,2857.75,-1
2020-05-13,07:23:25Z,2857.25,2857.75,2857.25,2857.75,-1
2020-05-13,07:23:30Z,2857.5,2858.0,2857.25,2858.0,-1
2020-05-13,07:23:35Z,2857.75,2858.0,2857.5,2858.0,-1
2020-05-13,07:23:40Z,2857.25,2857.75,2857.0,2857.5,-1
2020-05-13,07:23:45Z,2857.25,2857.75,2857.25,2857.5,-1
2020-05-13,07:23:50Z,2857.5,2857.75,2857.25,2857.75,-1
2020-05-13,07:23:55Z,2857.75,2858.25,2857.25,2858.0,-1
2020-05-13,07:24:00Z,2858.0,2858.25,2857.75,2858.25,-1
2020-05-13,07:24:05Z,2857.5,2858.0,2857.0,2857.75,-1
2020-05-13,07:24:10Z,2857.0,2857.5,2856.75,2857.25,-1
2020-05-13,07:24:15Z,2857.0,2857.5,2857.0,2857.25,-1
2020-05-13,07:24:20Z,2856.75,2857.25,2856.5,2857.0,-1
2020-05-13,07:24:25Z,2856.75,2857.0,2856.5,2857.0,-1
2020-05-13,07:24:30Z,2857.0,2857.75,2856.75,2857.25,-1
2020-05-13,07:24:35Z,2856.5,2857.5,2856.25,2856.75,-1
2020-05-13,07:24:40Z,2856.25,2856.75,2856.0,2856.5,-1
2020-05-13,07:24:45Z,2856.5,2857.0,2856.25,2856.75,-1
2020-05-13,07:24:50Z,2856.5,2857.0,2856.25,2856.75,-1
2020-05-13,07:24:55Z,2856.0,2856.5,2855.75,2856.25,-1
2020-05-13,07:25:00Z,2855.75,2856.25,2855.5,2856.0,-1
